,labels,values
0,MLS #,201811060
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$165,000"
4,Sale/Rent,For Sale
5,Unit #1 Rent,"$1,250"
6,Unit1 Rent Description,Actual
7,Unit #2 Rent,$850
8,Unit2 Rent Description,Estimated
9,Address,2 ROOSEVELT ST
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12206
14,County,Albany
15,Status,Active
16,Public Remarks,"Ideal for the owner occupier or college rental investor. Nestled on a quiet street in West Albany. This 2 family home features spacious bedrooms, detached garage, a new roof, large basement perfect for storage and so much more."
17,Directions 1,Roosevelt St.
18,Age (NOT year built),97
19,Total Bedrooms Unit 1,3
20,Total Bedrooms Unit 2,2
21,Total Full Baths Unit 1,0
22,Total Full Baths Unit 2,1
23,Total Partial Bths Unit 1,1
24,Total Partial Bths Unit 2,0
25,Off Street Parking,Yes
26,Total Taxes,"5,100"
27,Acres,0.100
28,School District Code,Albany
29,ATTIC,Hatch
30,BASEMENT,Full
31,CONDITION,Very Good
32,EXTERIOR,Aluminum
33,GARAGE DESCRIPTION,Detached
34,HEAT FUEL,Natural Gas
35,HEAT SYSTEM,Hot Water
36,LAUNDRY,Basement
37,LOT DESCRIPTION,Level
38,PHOTO INSTRUCTIONS,Broker Load Photo
39,PROPERTY DESCRIPTION,Up-and-Down
40,ROOF,Asphalt Shingle
41,SEPARATE UTILITIES,Electric
42,SEWER,Public
43,SHOWING INSTRUCTIONS,"Key, Lockbox"
44,SPECIAL MARKET CONDITIONS,No Special Conditions
45,UNIT #1 AMENITIES,Wall to Wall Carpet
46,UNIT #1 APPLIANCES,"Range w/Oven, Refrigerator"
47,UNIT #1 DINING ROOM TYPE,Dining Area
48,UNIT #1 OCCUPIED,Month-to-Month
49,UNIT #2 APPLIANCES,"Range w/Oven, Refrigerator"
50,UNIT #2 DINING ROOM TYPE,Dining Area
51,UNIT #2 OCCUPIED,Vacant
52,WATER,Public
53,Above Ground SQFT,1667
54,Handicap Access,No
55,Water Expense,300.00
56,Sewer Expense,300.00
57,Insurance Expense,919
58,Unit1 Kitchens on 1st Flr,1
59,Unit1 Bedrooms in Bsmt,0
60,Unit1 Bedrooms on 1st Flr,3
61,Unit1 Bedrooms on 2nd Flr,0
62,Unit1 Bedrooms on 3rd Flr,0
63,Unit1 Full Baths in Bsmt,0
64,Unit1 Full Bths on1st Flr,0
65,Unit1 Full Bths on2nd Flr,0
66,Unit1 Full Bths on3rd Flr,0
67,Unit1 Liv Rms on 1st Flr,1
68,Unit1 Partial Bth 1st Flr,1
69,Unit1 Partial Bth 2nd Flr,0
70,Unit1 Partial Bth 3rd Flr,0
71,Unit1 Partial Bth in Bsmt,0
72,Unit1 Possession,closing
73,Unit2 Kitchens on 1st Flr,1
74,Unit2 Bedrooms in Bsmt,0
75,Unit2 Bedrooms on 1st Flr,2
76,Unit2 Bedrooms on 2nd Flr,0
77,Unit2 Bedrooms on 3rd Flr,0
78,Unit2 Full Baths in Bsmt,0
79,Unit2 Full Bths on1st Flr,1
80,Unit2 Full Bths on2nd Flr,0
81,Unit2 Full Bths on3rd Flr,0
82,Unit2 Liv Rms on 1st Flr,1
83,Unit2 Partial Bth 1st Flr,0
84,Unit2 Partial Bth 2nd Flr,0
85,Unit2 Partial Bth 3rd Flr,0
86,Unit2 Partial Bths Bsmt,0
87,Unit2 Possession,closing
